number,value,datetime_start,datetime_complete,duration,params_atr_multiplier_stop,params_input_chunk_length,params_layer_widths,params_num_blocks,params_num_layers,params_prob_threshold,params_risk_per_trade,params_threshold_pct,params_use_vol_sizing,params_use_wavelet,user_attrs_metrics,state
32,-16.19302601464445,2025-08-20 21:40:26.135089,2025-08-20 21:46:15.453126,0 days 00:05:49.318037,2.5,48,128,3,4,0.95,0.01,0.002,False,False,"{'final_capital': 994.3581985060165, 'total_return_pct': -0.5641801493983523, 'ann_sharpe': -16.19302601464445, 'max_drawdown_pct': -0.5409899862185317, 'num_executed': 30, 'win_rate': 0.2, 'avg_pnl': -0.18806004979944788, 'profit_factor': 0.10345181851709663, 'avg_pnl_ci_l': -0.2746124830710519, 'avg_pnl_ci_u': -0.105479363169189}",COMPLETE
33,-16.19302601464445,2025-08-20 21:46:15.453360,2025-08-20 21:52:09.204131,0 days 00:05:53.750771,2.5,48,128,3,4,0.95,0.01,0.002,False,False,"{'final_capital': 994.3581985060165, 'total_return_pct': -0.5641801493983523, 'ann_sharpe': -16.19302601464445, 'max_drawdown_pct': -0.5409899862185317, 'num_executed': 30, 'win_rate': 0.2, 'avg_pnl': -0.18806004979944788, 'profit_factor': 0.10345181851709663, 'avg_pnl_ci_l': -0.2662822771242981, 'avg_pnl_ci_u': -0.10934514085342048}",COMPLETE
34,-16.19302601464445,2025-08-20 21:52:09.204391,2025-08-20 21:58:01.351483,0 days 00:05:52.147092,2.5,48,128,3,4,0.95,0.01,0.002,False,False,"{'final_capital': 994.3581985060165, 'total_return_pct': -0.5641801493983523, 'ann_sharpe': -16.19302601464445, 'max_drawdown_pct': -0.5409899862185317, 'num_executed': 30, 'win_rate': 0.2, 'avg_pnl': -0.18806004979944788, 'profit_factor': 0.10345181851709663, 'avg_pnl_ci_l': -0.26742510918964757, 'avg_pnl_ci_u': -0.10594498290383349}",COMPLETE
31,-16.19302601464445,2025-08-20 21:34:33.861696,2025-08-20 21:40:26.134855,0 days 00:05:52.273159,2.5,48,128,3,4,0.95,0.01,0.002,False,False,"{'final_capital': 994.3581985060165, 'total_return_pct': -0.5641801493983523, 'ann_sharpe': -16.19302601464445, 'max_drawdown_pct': -0.5409899862185317, 'num_executed': 30, 'win_rate': 0.2, 'avg_pnl': -0.18806004979944788, 'profit_factor': 0.10345181851709663, 'avg_pnl_ci_l': -0.2700901843574802, 'avg_pnl_ci_u': -0.11134550701952053}",COMPLETE
25,-16.19302601464445,2025-08-20 21:04:47.963640,2025-08-20 21:11:13.378221,0 days 00:06:25.414581,2.5,48,128,3,4,0.95,0.01,0.002,False,False,"{'final_capital': 994.3581985060165, 'total_return_pct': -0.5641801493983523, 'ann_sharpe': -16.19302601464445, 'max_drawdown_pct': -0.5409899862185317, 'num_executed': 30, 'win_rate': 0.2, 'avg_pnl': -0.18806004979944788, 'profit_factor': 0.10345181851709663, 'avg_pnl_ci_l': -0.27216569185243844, 'avg_pnl_ci_u': -0.11519292348787513}",COMPLETE
27,-16.19302601464445,2025-08-20 21:14:07.855798,2025-08-20 21:20:06.722588,0 days 00:05:58.866790,2.5,48,128,3,4,0.95,0.01,0.002,False,False,"{'final_capital': 994.3581985060165, 'total_return_pct': -0.5641801493983523, 'ann_sharpe': -16.19302601464445, 'max_drawdown_pct': -0.5409899862185317, 'num_executed': 30, 'win_rate': 0.2, 'avg_pnl': -0.18806004979944788, 'profit_factor': 0.10345181851709663, 'avg_pnl_ci_l': -0.27234343116183835, 'avg_pnl_ci_u': -0.11390734786548945}",COMPLETE
73,-16.19302601464445,2025-08-21 01:40:10.556917,2025-08-21 01:46:46.659765,0 days 00:06:36.102848,2.5,48,128,3,4,0.95,0.01,0.002,False,False,"{'final_capital': 994.3581985060165, 'total_return_pct': -0.5641801493983523, 'ann_sharpe': -16.19302601464445, 'max_drawdown_pct': -0.5409899862185317, 'num_executed': 30, 'win_rate': 0.2, 'avg_pnl': -0.18806004979944788, 'profit_factor': 0.10345181851709663, 'avg_pnl_ci_l': -0.2704802867163116, 'avg_pnl_ci_u': -0.10604357455263186}",COMPLETE
72,-16.19302601464445,2025-08-21 01:33:34.585825,2025-08-21 01:40:10.556594,0 days 00:06:35.970769,2.5,48,128,3,4,0.95,0.01,0.002,False,False,"{'final_capital': 994.3581985060165, 'total_return_pct': -0.5641801493983523, 'ann_sharpe': -16.19302601464445, 'max_drawdown_pct': -0.5409899862185317, 'num_executed': 30, 'win_rate': 0.2, 'avg_pnl': -0.18806004979944788, 'profit_factor': 0.10345181851709663, 'avg_pnl_ci_l': -0.27100642151376875, 'avg_pnl_ci_u': -0.1142560690413057}",COMPLETE
74,-16.19302601464445,2025-08-21 01:46:46.660044,2025-08-21 01:53:19.496106,0 days 00:06:32.836062,2.5,48,128,3,4,0.95,0.01,0.002,False,False,"{'final_capital': 994.3581985060165, 'total_return_pct': -0.5641801493983523, 'ann_sharpe': -16.19302601464445, 'max_drawdown_pct': -0.5409899862185317, 'num_executed': 30, 'win_rate': 0.2, 'avg_pnl': -0.18806004979944788, 'profit_factor': 0.10345181851709663, 'avg_pnl_ci_l': -0.26382369456633853, 'avg_pnl_ci_u': -0.11631046465374116}",COMPLETE
75,-16.19302601464445,2025-08-21 01:53:19.496451,2025-08-21 01:59:45.310975,0 days 00:06:25.814524,2.5,48,128,3,4,0.95,0.01,0.002,False,False,"{'final_capital': 994.3581985060165, 'total_return_pct': -0.5641801493983523, 'ann_sharpe': -16.19302601464445, 'max_drawdown_pct': -0.5409899862185317, 'num_executed': 30, 'win_rate': 0.2, 'avg_pnl': -0.18806004979944788, 'profit_factor': 0.10345181851709663, 'avg_pnl_ci_l': -0.2629775182060099, 'avg_pnl_ci_u': -0.11240466584549637}",COMPLETE
